Initial number of nuclei A : 100
Initial number of nuclei B : 0
Time constant : 1.00 s
Time step : 0.01 s
Total time : 10.00 s
Time		Number of nuclei A		Number of nuclei B
0.00		   100.000000			     0.000000
0.01		    99.000000			     1.000000
0.02		    98.020000			     1.980000
0.03		    97.059600			     2.940400
0.04		    96.118408			     3.881592
0.05		    95.196040			     4.803960
0.06		    94.292119			     5.707881
0.07		    93.406277			     6.593723
0.08		    92.538151			     7.461849
0.09		    91.687388			     8.312612
0.10		    90.853640			     9.146360
0.11		    90.036568			     9.963432
0.12		    89.235836			    10.764164
0.13		    88.451119			    11.548881
0.14		    87.682097			    12.317903
0.15		    86.928455			    13.071545
0.16		    86.189886			    13.810114
0.17		    85.466088			    14.533912
0.18		    84.756767			    15.243233
0.19		    84.061631			    15.938369
0.20		    83.380399			    16.619601
0.21		    82.712791			    17.287209
0.22		    82.058535			    17.941465
0.23		    81.417364			    18.582636
0.24		    80.789017			    19.210983
0.25		    80.173236			    19.826764
0.26		    79.569772			    20.430228
0.27		    78.978376			    21.021624
0.28		    78.398809			    21.601191
0.29		    77.830833			    22.169167
0.30		    77.274216			    22.725784
0.31		    76.728732			    23.271268
0.32		    76.194157			    23.805843
0.33		    75.670274			    24.329726
0.34		    75.156868			    24.843132
0.35		    74.653731			    25.346269
0.36		    74.160656			    25.839344
0.37		    73.677443			    26.322557
0.38		    73.203894			    26.796106
0.39		    72.739817			    27.260183
0.40		    72.285020			    27.714980
0.41		    71.839320			    28.160680
0.42		    71.402533			    28.597467
0.43		    70.974483			    29.025517
0.44		    70.554993			    29.445007
0.45		    70.143893			    29.856107
0.46		    69.741015			    30.258985
0.47		    69.346195			    30.653805
0.48		    68.959271			    31.040729
0.49		    68.580086			    31.419914
0.50		    68.208484			    31.791516
0.51		    67.844314			    32.155686
0.52		    67.487428			    32.512572
0.53		    67.137679			    32.862321
0.54		    66.794926			    33.205074
0.55		    66.459027			    33.540973
0.56		    66.129847			    33.870153
0.57		    65.807250			    34.192750
0.58		    65.491105			    34.508895
0.59		    65.181283			    34.818717
0.60		    64.877657			    35.122343
0.61		    64.580104			    35.419896
0.62		    64.288502			    35.711498
0.63		    64.002732			    35.997268
0.64		    63.722677			    36.277323
0.65		    63.448224			    36.551776
0.66		    63.179259			    36.820741
0.67		    62.915674			    37.084326
0.68		    62.657361			    37.342639
0.69		    62.404213			    37.595787
0.70		    62.156129			    37.843871
0.71		    61.913006			    38.086994
0.72		    61.674746			    38.325254
0.73		    61.441251			    38.558749
0.74		    61.212426			    38.787574
0.75		    60.988178			    39.011822
0.76		    60.768414			    39.231586
0.77		    60.553046			    39.446954
0.78		    60.341985			    39.658015
0.79		    60.135145			    39.864855
0.80		    59.932443			    40.067557
0.81		    59.733794			    40.266206
0.82		    59.539118			    40.460882
0.83		    59.348335			    40.651665
0.84		    59.161369			    40.838631
0.85		    58.978141			    41.021859
0.86		    58.798579			    41.201421
0.87		    58.622607			    41.377393
0.88		    58.450155			    41.549845
0.89		    58.281152			    41.718848
0.90		    58.115529			    41.884471
0.91		    57.953218			    42.046782
0.92		    57.794154			    42.205846
0.93		    57.638271			    42.361729
0.94		    57.485505			    42.514495
0.95		    57.335795			    42.664205
0.96		    57.189079			    42.810921
0.97		    57.045298			    42.954702
0.98		    56.904392			    43.095608
0.99		    56.766304			    43.233696
1.00		    56.630978			    43.369022
1.01		    56.498358			    43.501642
1.02		    56.368391			    43.631609
1.03		    56.241023			    43.758977
1.04		    56.116203			    43.883797
